text,label
Please fix garbage dumping near market,0
There is drainage overflow near market,0
Click here to win money,1
Facing sewage problem near hospital,0
street light not working problem on main road,0
Click link to claim reward,1
Limited time offer buy now,1
There is pothole near market,0
Limited time offer buy now,1
Urgent issue: garbage dumping near hospital,0
Earn money fast,1
Urgent issue: sewage problem in colony,0
water leakage problem in my area,0
Click link to claim reward,1
Please fix garbage dumping in colony,0
Urgent issue: street light not working near hospital,0
Earn money fast,1
Limited time offer buy now,1
drainage overflow problem near bus stop,0
Please fix sewage problem near school,0
Get free gift card,1
Make money online easily,1
Earn money fast,1
Urgent issue: drainage overflow near market,0
Earn money fast,1
broken road problem on main road,0
Facing traffic jam in colony,0
garbage dumping problem in my area,0
Earn money fast,1
Earn money fast,1
pothole problem in my area,0
Congratulations you won prize,1
Click link to claim reward,1
Make money online easily,1
Urgent issue: traffic jam near market,0
Free recharge offer,1
Urgent issue: street light not working in my area,0
Earn money fast,1
Make money online easily,1
Congratulations you won prize,1
Please fix traffic jam on main road,0
Urgent issue: sewage problem on main road,0
Free recharge offer,1
broken road problem in colony,0
Earn money fast,1
Click link to claim reward,1
Urgent issue: traffic jam in colony,0
There is traffic jam in my area,0
Get free gift card,1
Click here to win money,1
Urgent issue: street light not working near hospital,0
Urgent issue: traffic jam near school,0
Limited time offer buy now,1
There is sewage problem near market,0
pothole problem on main road,0
There is pothole near hospital,0
Get free gift card,1
Click link to claim reward,1
Earn money fast,1
Please fix garbage dumping in colony,0
Click link to claim reward,1
Facing broken road near bus stop,0
Free recharge offer,1
Limited time offer buy now,1
Earn money fast,1
Urgent issue: traffic jam near hospital,0
Click here to win money,1
Free recharge offer,1
Click link to claim reward,1
Click here to win money,1
There is street light not working in colony,0
Make money online easily,1
Please fix traffic jam in colony,0
Urgent issue: broken road in my area,0
There is pothole in colony,0
There is water leakage near hospital,0
Please fix traffic jam near school,0
Congratulations you won prize,1
Facing broken road on main road,0
Please fix water leakage on main road,0
There is street light not working near bus stop,0
Click here to win money,1
Make money online easily,1
Please fix drainage overflow in colony,0
Limited time offer buy now,1
Click link to claim reward,1
Click here to win money,1
drainage overflow problem near hospital,0
Earn money fast,1
Get free gift card,1
Limited time offer buy now,1
Get free gift card,1
There is traffic jam in my area,0
Get free gift card,1
Please fix sewage problem near bus stop,0
Get free gift card,1
Please fix sewage problem in colony,0
street light not working problem on main road,0
Facing sewage problem on main road,0
Get free gift card,1
Urgent issue: sewage problem in my area,0
Make money online easily,1
Facing drainage overflow near school,0
Urgent issue: pothole in colony,0
There is broken road on main road,0
Congratulations you won prize,1
Congratulations you won prize,1
There is traffic jam in my area,0
Click here to win money,1
Urgent issue: traffic jam near hospital,0
Please fix street light not working near market,0
Facing street light not working near market,0
Free recharge offer,1
There is pothole near hospital,0
drainage overflow problem near hospital,0
Click here to win money,1
garbage dumping problem on main road,0
Click link to claim reward,1
Make money online easily,1
Facing water leakage near bus stop,0
Please fix drainage overflow near hospital,0
Free recharge offer,1
Limited time offer buy now,1
Limited time offer buy now,1
Free recharge offer,1
Click link to claim reward,1
Facing pothole near bus stop,0
Make money online easily,1
