text,label
COMPLAINT ABOUT MISC ISSUE NEAR MARKET!!!,other
rash driving is causing trouble near school,traffic_roadsafety
water issue is causing trouble near hospital,water_supply
Please fix general issue near office,other
road damage problem near school,road_pothole
THERE IS UNKNOWN PROBLEM NEAR HOSPITAL,other
TRASH PROBLEM PROBLEM NEAR OFFICE,garbage_waste
There is water shortage near school,water_supply
Complaint about accident risk near bus stop,traffic_roadsafety
cattle on road problem near school,stray_animals
BROKEN ROAD PROBLEM NEAR MARKET,road_pothole
FACING WIRE PROBLEM BESIDE PARK!!!,streetlight_electrical
drainage overflow problem in my area,drainage_sewage
THERE IS POWER CUT IN COLONY,streetlight_electrical
There is animal nuisance in colony,stray_animals
URGENT ISSUE: DUSTBIN NOT CLEARED NEAR SCHOOL,garbage_waste
Please fix trash problem on main road,garbage_waste
URGENT ISSUE: DOG ATTACK RISK BESIDE PARK,stray_animals
Issue of road damage in colony,road_pothole
ILLEGAL CONSTRUCTION IS CAUSING TROUBLE IN COLONY,illegal_activities
Urgent issue: cattle on road near bus stop,stray_animals
Urgent issue: unknown problem in colony!!!,other
UNKNOWN PROBLEM IS CAUSING TROUBLE NEAR BUS STOP!!!,other
PLEASE FIX GARBAGE DUMPING NEAR MARKET!!!,garbage_waste
Facing street light not working in my area,streetlight_electrical
ELECTRIC POLE ISSUE PROBLEM BESIDE PARK,streetlight_electrical
DAMAGED PARK PROBLEM IN MY AREA,public_property_damage
broken road is causing trouble near school,road_pothole
Issue of illegal construction near school,illegal_activities
FACING TRAFFIC JAM ON MAIN ROAD!!!,traffic_roadsafety
There is rash driving near school!!!,traffic_roadsafety
Facing illegal construction in my area,illegal_activities
ISSUE OF GARBAGE DUMPING NEAR BUS STOP!!!,garbage_waste
Issue of no water supply near hospital,water_supply
Urgent issue: illegal construction beside park!!!,illegal_activities
FACING BAD ROAD CONDITION NEAR BUS STOP!!!,road_pothole
FACING ILLEGAL PARKING BESIDE PARK,illegal_activities
ISSUE OF CATTLE ON ROAD ON MAIN ROAD,stray_animals
ISSUE OF TRAFFIC JAM NEAR BUS STOP!!!,traffic_roadsafety
unknown problem is causing trouble near bus stop,other
Complaint about no signals beside park,traffic_roadsafety
Facing electric pole issue near hospital!!!,streetlight_electrical
Urgent issue: unknown problem in colony,other
Issue of drainage overflow near hospital,drainage_sewage
no water supply problem in colony,water_supply
Urgent issue: accident risk near office,traffic_roadsafety
Urgent issue: no water supply near office,water_supply
Urgent issue: water clogging near hospital!!!,drainage_sewage
Complaint about low water pressure near market!!!,water_supply
Facing street light not working in colony,streetlight_electrical
Facing animal nuisance near market,stray_animals
Facing broken road near office,road_pothole
Facing electric pole issue in my area!!!,streetlight_electrical
URGENT ISSUE: PUBLIC PROPERTY DAMAGE BESIDE PARK!!!,public_property_damage
There is illegal parking near hospital,illegal_activities
There is traffic jam in colony!!!,traffic_roadsafety
ISSUE OF UNKNOWN PROBLEM ON MAIN ROAD!!!,other
illegal construction is causing trouble near school,illegal_activities
FACING NO WATER SUPPLY BESIDE PARK,water_supply
Complaint about street light not working near school,streetlight_electrical
Urgent issue: traffic jam in my area,traffic_roadsafety
Issue of dog attack risk near office,stray_animals
Please fix animal nuisance near bus stop!!!,stray_animals
water clogging is causing trouble near market!!!,drainage_sewage
PLEASE FIX ROAD DAMAGE NEAR OFFICE,road_pothole
